start_frame,end_frame,move,duration_frames,start_time,end_time
1,13,Squat,13,0.03333333333333333,0.43333333333333335
23,34,Arm Movement,12,0.7666666666666667,1.1333333333333333
41,74,Standing / Neutral,34,1.3666666666666667,2.466666666666667
76,82,Standing / Neutral,7,2.533333333333333,2.7333333333333334
92,105,Hand Raise,14,3.066666666666667,3.5
106,111,Standing / Neutral,6,3.533333333333333,3.7
113,124,Standing / Neutral,12,3.7666666666666666,4.133333333333334
125,129,Arm Movement,5,4.166666666666667,4.3
130,136,Hand Raise,7,4.333333333333333,4.533333333333333
138,145,Arm Movement,8,4.6,4.833333333333333
149,155,Arm Movement,7,4.966666666666667,5.166666666666667
157,169,Hand Raise,13,5.233333333333333,5.633333333333334
174,178,Standing / Neutral,5,5.8,5.933333333333334
196,201,Arm Movement,6,6.533333333333333,6.7
204,208,Squat,5,6.8,6.933333333333334
209,214,Arm Movement,6,6.966666666666667,7.133333333333334
217,224,Arm Movement,8,7.233333333333333,7.466666666666667
238,242,Standing / Neutral,5,7.933333333333334,8.066666666666666
257,261,Arm Movement,5,8.566666666666666,8.7
262,276,Standing / Neutral,15,8.733333333333333,9.2
277,282,Hand Raise,6,9.233333333333333,9.4
283,294,Standing / Neutral,12,9.433333333333334,9.8
295,299,Arm Movement,5,9.833333333333334,9.966666666666667
308,313,Arm Movement,6,10.266666666666667,10.433333333333334
314,319,Hand Raise,6,10.466666666666667,10.633333333333333
323,327,Squat,5,10.766666666666667,10.9
333,338,Arm Movement,6,11.1,11.266666666666667
356,360,Standing / Neutral,5,11.866666666666667,12.0
362,369,Hand Raise,8,12.066666666666666,12.3
370,442,Squat,73,12.333333333333334,14.733333333333333
447,451,Hand Raise,5,14.9,15.033333333333333
455,463,Standing / Neutral,9,15.166666666666666,15.433333333333334
473,484,Hand Raise,12,15.766666666666667,16.133333333333333
485,489,Arm Movement,5,16.166666666666668,16.3
493,503,Hand Raise,11,16.433333333333334,16.766666666666666
504,508,Arm Movement,5,16.8,16.933333333333334
509,528,Standing / Neutral,20,16.966666666666665,17.6
531,535,Hand Raise,5,17.7,17.833333333333332
539,553,Hand Raise,15,17.966666666666665,18.433333333333334
558,565,Hand Raise,8,18.6,18.833333333333332
566,570,Arm Movement,5,18.866666666666667,19.0
575,583,Hand Raise,9,19.166666666666668,19.433333333333334
584,589,Arm Movement,6,19.466666666666665,19.633333333333333
592,596,Arm Movement,5,19.733333333333334,19.866666666666667
597,608,Hand Raise,12,19.9,20.266666666666666
628,632,Arm Movement,5,20.933333333333334,21.066666666666666
636,643,Standing / Neutral,8,21.2,21.433333333333334
644,649,Arm Movement,6,21.466666666666665,21.633333333333333
665,683,Standing / Neutral,19,22.166666666666668,22.766666666666666
699,741,Standing / Neutral,43,23.3,24.7
745,757,Arm Movement,13,24.833333333333332,25.233333333333334
759,769,Arm Movement,11,25.3,25.633333333333333
770,776,Hand Raise,7,25.666666666666668,25.866666666666667
778,784,Hand Raise,7,25.933333333333334,26.133333333333333
787,821,Standing / Neutral,35,26.233333333333334,27.366666666666667
822,833,Squat,12,27.4,27.766666666666666
834,844,Standing / Neutral,11,27.8,28.133333333333333
845,852,Arm Movement,8,28.166666666666668,28.4
853,860,Hand Raise,8,28.433333333333334,28.666666666666668
862,867,Arm Movement,6,28.733333333333334,28.9
868,887,Hand Raise,20,28.933333333333334,29.566666666666666
895,932,Standing / Neutral,38,29.833333333333332,31.066666666666666
933,939,Hand Raise,7,31.1,31.3
948,953,Arm Movement,6,31.6,31.766666666666666
955,961,Arm Movement,7,31.833333333333332,32.03333333333333
992,996,Standing / Neutral,5,33.06666666666667,33.2
1003,1008,Standing / Neutral,6,33.43333333333333,33.6
1021,1040,Hand Raise,20,34.03333333333333,34.666666666666664
1058,1063,Squat,6,35.266666666666666,35.43333333333333
